id,name,area_code,id_num,tel,probability,tag,date
200001,黄楠,410105,410105196308205784,16995760958,0.77,1,2023-07-01
200003,陈晶,410105,410105196001229481,11616218785,0.75,0,2023-07-01
200006,宣兰英,410105,410105199110194974,16115968937,0.75,0,2023-07-01
200007,豆慧,410105,410105199910155349,16352251979,0.73,0,2023-07-01
200009,安桂香,410105,410105199504224414,18830558760,0.8,1,2023-07-01
200011,李淑兰,410105,410105198708173412,18811352899,0.84,1,2023-07-01
200012,李辉,410105,410105198911096224,17079816403,0.71,0,2023-07-01
200013,余琳,410105,410105199903147316,15943443097,0.7,0,2023-07-01
200018,柳彬,410105,410105196001103734,15543857986,0.7,0,2023-07-01
200021,陈建平,410105,410105199303239971,18995289602,0.61,0,2023-07-01
200022,谢艳,410105,410105196011252156,10860016801,0.8,1,2023-07-01
200024,彭丹丹,410105,410105199807252452,18133400633,0.62,0,2023-07-01
200026,邢敏,410105,410105199209204248,18061239687,0.82,1,2023-07-01
200028,刘建华,410105,410105196411217102,19825803237,0.79,1,2023-07-01
200029,向柳,410105,410105198911218351,18107726694,0.69,0,2023-07-01
200032,王林,410102,410102197111229775,10334561138,0.86,1,2023-07-01
200035,张畅,410102,410102198907171984,18150855906,0.68,0,2023-07-01
200038,杨秀兰,410102,410102197003045656,13486130911,0.66,0,2023-07-01
200040,洪桂芝,410102,410102198309152041,12545283730,0.7,0,2023-07-01
200041,豆金凤,410102,410102196508118043,14319367225,0.77,1,2023-07-01
200047,王小红,410102,410102197307085292,16758958706,0.68,0,2023-07-01
200048,刘强,410102,410102199310107280,12708538489,0.69,0,2023-07-01
200051,杨丹丹,410102,410102196210104425,15775935095,0.68,0,2023-07-01
200052,张成,410102,410102195909186417,11363258227,0.62,0,2023-07-01
200055,李勇,410102,410102197803045572,11394189067,0.79,1,2023-07-01
200058,刘玉华,410102,410102197708133539,16950978348,0.84,1,2023-07-01
200059,谢鑫,410102,410102196408141297,11662083126,0.89,1,2023-07-01
200063,李成,410103,410103196007219902,12143018716,0.7,0,2023-07-01
200064,金丽丽,410103,410103195911125148,16546011669,0.72,0,2023-07-01
200065,王鑫,410103,410103197305026024,17883986260,0.76,1,2023-07-01
200069,宋海燕,410103,410103198001261540,19831290340,0.83,1,2023-07-01
200072,郑飞,410103,410103195511225139,18237782158,0.76,1,2023-07-01
200074,曾静,410103,410103199111152975,12522096409,0.6,0,2023-07-01
200075,赵军,410103,410103195708246129,17238318240,0.76,1,2023-07-01
200078,杨斌,410103,410103196810233359,17474246512,0.69,0,2023-07-01
200080,刘勇,410103,410103196004269025,15654184378,0.65,0,2023-07-01
200082,齐浩,410103,410103197610151885,17593268312,0.61,0,2023-07-01
200083,赵兰英,410103,410103199606034588,19408919032,0.63,0,2023-07-01
200087,周红梅,410103,410103196307022965,14076717419,0.66,0,2023-07-01
200088,赵淑华,410103,410103198101069712,12244595239,0.65,0,2023-07-01
200090,连红,410103,410103196606201994,12680180596,0.73,0,2023-07-01
200092,高秀英,410106,410106197410108352,17410315813,0.8,1,2023-07-01
200096,李霞,410106,410106197107145474,11643573266,0.85,1,2023-07-01
200097,陈丽,410106,410106200010268999,18351188102,0.69,0,2023-07-01
200099,朱娟,410106,410106196609111386,17011535518,0.73,0,2023-07-01
200101,李博,410106,410106196207038617,13691140159,0.77,1,2023-07-01
200104,高雪梅,410106,410106196811046584,12360357510,0.74,0,2023-07-01
200105,谢颖,410106,410106198806035756,16604085761,0.63,0,2023-07-01
200106,李静,410106,410106199007052455,10117842390,0.65,0,2023-07-01
200107,谢冬梅,410106,410106198904132669,16257149379,0.68,0,2023-07-01
200114,陆萍,410106,410106195611045963,18098343128,0.73,0,2023-07-01
200115,储玉兰,410106,410106196801239266,13921501098,0.67,0,2023-07-01
200116,王志强,410106,410106199703241667,19832571594,0.77,1,2023-07-01
200117,葛玉英,410106,410106197408251971,16734891020,0.65,0,2023-07-01
200121,李辉,410108,410108197302066442,10377379850,0.65,0,2023-07-01
200126,庄丹,410108,410108198211195519,10173037298,0.67,0,2023-07-01
200128,李俊,410108,410108199711116108,10864522843,0.7,0,2023-07-01
200130,严林,410108,410108199007131341,13716661738,0.75,0,2023-07-01
200134,郭明,410108,410108199105056114,14963507857,0.73,0,2023-07-01
200142,刘桂珍,410108,410108199705272062,18043377940,0.64,0,2023-07-01
200143,曲杨,410108,410108197109268797,11675719877,0.81,1,2023-07-01
200144,马建军,410108,410108195907109402,18951141460,0.86,1,2023-07-01
200145,杨凤英,410108,410108198310042097,11279424570,0.65,0,2023-07-01
200146,王伟,410108,410108199309078195,14778372858,0.67,0,2023-07-01
200150,王琴,410108,410108195310278088,19812777386,0.77,1,2023-07-01
200152,萧彬,410105,410105197904253195,15765879673,0.64,0,2023-07-02
200153,卢鹏,410105,410105199503096917,19151657288,0.6,0,2023-07-02
200154,廖晶,410105,410105199907254723,11266956956,0.68,0,2023-07-02
200155,刘桂珍,410105,410105198308244860,12996183402,0.69,0,2023-07-02
200156,刘玉华,410105,410105195808242523,15488487655,0.73,0,2023-07-02
200157,庞桂兰,410105,410105196102138672,13467413222,0.83,1,2023-07-02
200160,段云,410105,410105198811172816,18287639160,0.65,0,2023-07-02
200161,黄瑞,410105,410105197509108231,19801255272,0.77,1,2023-07-02
200165,李桂荣,410105,410105198804222193,12700525186,0.69,0,2023-07-02
200170,王桂荣,410105,410105197807147588,11638993482,0.69,0,2023-07-02
200173,彭明,410105,410105195809244080,13741751265,0.77,1,2023-07-02
200174,张凯,410105,410105199308145926,14128616178,0.77,1,2023-07-02
200175,翟淑兰,410105,410105199510013076,16171793940,0.75,0,2023-07-02
200176,李婷婷,410105,410105199611286718,12471041387,0.75,0,2023-07-02
200178,苏浩,410105,410105200309186480,13106871675,0.7,0,2023-07-02
200179,汪莹,410105,410105199503157590,11673202364,0.76,1,2023-07-02
200182,巴金凤,410102,410102199204047666,13291986206,0.83,1,2023-07-02
200185,董秀兰,410102,410102197209059829,18489420270,0.77,1,2023-07-02
200186,李健,410102,410102198805026186,12674297082,0.65,0,2023-07-02
200187,苗桂荣,410102,410102196711225069,17524485117,0.71,0,2023-07-02
200190,魏秀华,410102,410102197111287706,19025244348,0.74,0,2023-07-02
200193,赵秀云,410102,410102195404196883,10605283073,0.79,1,2023-07-02
200194,韦丽娟,410102,410102197301106153,10727871279,0.69,0,2023-07-02
200195,林娜,410102,410102197204053297,17029657638,0.67,0,2023-07-02
200197,何秀梅,410102,410102198801196063,17975599451,0.63,0,2023-07-02
200199,陈凤英,410102,410102198208064645,18403925853,0.67,0,2023-07-02
200200,张飞,410102,410102200004199080,18078943079,0.73,0,2023-07-02
200202,赵刚,410102,410102195507286466,14208714846,0.8,1,2023-07-02
200204,张俊,410102,410102195509034608,13280810792,0.75,0,2023-07-02
200207,董辉,410102,410102198704211981,13542101647,0.91,1,2023-07-02
200209,李海燕,410102,410102196802247179,18624671049,0.72,0,2023-07-02
200214,黄璐,410103,410103196801217745,16899818540,0.77,1,2023-07-02
200217,丰鹏,410103,410103196302219031,18550412321,0.8,1,2023-07-02
200220,陈桂芳,410103,410103195604155748,12326950386,0.91,1,2023-07-02
200221,黄柳,410103,410103199503145341,11627470706,0.61,0,2023-07-02
200231,谢超,410103,410103200107275973,15299124303,0.66,0,2023-07-02
200232,刘丽,410103,410103198708013640,10008945284,0.68,0,2023-07-02
200233,李磊,410103,410103197002143102,10951994885,0.62,0,2023-07-02
200234,吴龙,410103,410103197711195160,16296738941,0.79,1,2023-07-02
200235,张荣,410103,410103199507113364,10791682134,0.65,0,2023-07-02
200237,周桂芳,410103,410103198109222864,19238123611,0.69,0,2023-07-02
200239,李璐,410103,410103200110143867,17127520099,0.83,1,2023-07-02
200243,黄丹丹,410106,410106200207177403,14973115211,0.77,1,2023-07-02
200245,刘晶,410106,410106200106158174,12080938914,0.7,0,2023-07-02
200246,王林,410106,410106196704289489,14859840584,0.69,0,2023-07-02
200247,韩帅,410106,410106199103119848,17750888113,0.65,0,2023-07-02
200249,傅杨,410106,410106197110031073,14897813987,0.86,1,2023-07-02
200251,萧小红,410106,410106200308091612,13418164472,0.82,1,2023-07-02
200254,杨雷,410106,410106198409151299,17306738078,0.79,1,2023-07-02
200257,黄莉,410106,410106196006153851,19092886282,0.77,1,2023-07-02
200260,胡瑞,410106,410106197302208673,17293485432,0.83,1,2023-07-02
200262,黄丹,410106,410106195603117723,18101021486,0.67,0,2023-07-02
200264,乔波,410106,410106195406245606,13505276724,0.86,1,2023-07-02
200269,邱琳,410106,410106199704287501,10192941446,0.79,1,2023-07-02
200271,杨旭,410108,410108196910186488,14361424132,0.77,1,2023-07-02
200272,杨娟,410108,410108199504206575,12960311462,0.73,0,2023-07-02
200275,王秀荣,410108,410108199501113842,11826350297,0.78,1,2023-07-02
200276,黄秀荣,410108,410108198705234684,19869390785,0.67,0,2023-07-02
200279,张雷,410108,410108198803029665,11215165530,0.65,0,2023-07-02
200280,张文,410108,410108196809191097,15557881116,0.72,0,2023-07-02
200283,潘敏,410108,410108197305105614,13329053784,0.66,0,2023-07-02
200285,董平,410108,410108197106243498,12472790171,0.84,1,2023-07-02
200286,马玉,410108,410108195408197226,18176622715,0.71,0,2023-07-02
200288,白宇,410108,410108200306012161,11886278834,0.65,0,2023-07-02
200293,郑欣,410108,410108195705146351,12343873660,0.66,0,2023-07-02
200294,徐健,410108,410108198608023395,11758454502,0.61,0,2023-07-02
200296,叶凤兰,410108,410108196606047337,16901590282,0.7,0,2023-07-02
200298,王丹丹,410108,410108195902098616,15549005017,0.81,1,2023-07-02
200299,高桂珍,410108,410108198503141300,10962162799,0.76,1,2023-07-02
200300,纪丽,410108,410108197908012557,11286388214,0.61,0,2023-07-02
200301,王宇,410105,410105198411222098,13930246663,0.66,0,2023-07-03
200305,王淑华,410105,410105199709106853,17512691748,0.73,0,2023-07-03
200307,宋建,410105,410105200203172502,14979542646,0.76,1,2023-07-03
200312,张桂芳,410105,410105198203124751,14384101711,0.67,0,2023-07-03
200313,胡兵,410105,410105195703079016,17664815476,0.62,0,2023-07-03
200314,林波,410105,410105198209015047,18120426157,0.67,0,2023-07-03
200316,程敏,410105,410105199702188668,10990645569,0.76,1,2023-07-03
200317,徐淑英,410105,410105200002286497,14850689258,0.72,0,2023-07-03
200320,王俊,410105,410105195501175750,12473850920,0.79,1,2023-07-03
200321,刘志强,410105,410105198206205501,17105461936,0.62,0,2023-07-03
200322,张金凤,410105,410105195809245573,16459633636,0.8,1,2023-07-03
200324,王丽,410105,410105198109128697,10440312075,0.72,0,2023-07-03
200325,景鑫,410105,410105197809206211,14895263154,0.88,1,2023-07-03
200326,刘波,410105,410105196802033196,19119487572,0.71,0,2023-07-03
200329,姚勇,410105,410105198202285121,14308608335,0.75,0,2023-07-03
200330,邵俊,410105,410105197709189048,15230215110,0.75,0,2023-07-03
200332,晏莉,410102,410102199204109443,18435610227,0.84,1,2023-07-03
200335,潘兰英,410102,410102199504093222,11375165015,0.68,0,2023-07-03
200336,萧雪梅,410102,410102199107278107,18697431506,0.62,0,2023-07-03
200338,王瑜,410102,410102199408086266,16847850517,0.64,0,2023-07-03
200352,陈磊,410102,410102198106218923,14963373912,0.66,0,2023-07-03
200354,黄霞,410102,410102199401247971,16544468717,0.73,0,2023-07-03
200359,何建平,410102,410102198208118300,14729893818,0.7,0,2023-07-03
200361,李莹,410103,410103198809025116,10747013780,0.83,1,2023-07-03
200363,周冬梅,410103,410103197603074764,18253995810,0.7,0,2023-07-03
200366,王晶,410103,410103195503023911,10804598023,0.69,0,2023-07-03
200369,朱峰,410103,410103195811136754,10703228081,0.7,0,2023-07-03
200371,张楠,410103,410103196811149135,13332534712,0.76,1,2023-07-03
200372,李秀兰,410103,410103197506225878,12359107263,0.72,0,2023-07-03
200375,刘浩,410103,410103199911053726,16653466015,0.7,0,2023-07-03
200376,阮欣,410103,410103198210172821,10770871274,0.66,0,2023-07-03
200380,高刚,410103,410103196309264019,13754353254,0.8,1,2023-07-03
200381,刘玉,410103,410103198308178326,19512686152,0.71,0,2023-07-03
200382,周峰,410103,410103195909166855,13557811369,0.71,0,2023-07-03
200383,乔丽华,410103,410103200008087772,12392307793,0.66,0,2023-07-03
200386,金志强,410103,410103199410215660,16368574404,0.68,0,2023-07-03
200387,桑莉,410103,410103197608058977,18057640227,0.72,0,2023-07-03
200390,曹强,410103,410103199302059983,14156518302,0.7,0,2023-07-03
200391,张宁,410106,410106195501229411,10005376888,0.75,0,2023-07-03
200392,韩玉,410106,410106197705104919,14555267494,0.82,1,2023-07-03
200398,吴志强,410106,410106199904254495,12107133737,0.65,0,2023-07-03
200401,班桂花,410106,410106195602282700,12840239523,0.85,1,2023-07-03
200402,吴秀珍,410106,410106198708281913,12762255571,0.7,0,2023-07-03
200406,陈佳,410106,410106200102288649,13756920117,0.62,0,2023-07-03
200409,刘金凤,410106,410106197602208946,14209372684,0.64,0,2023-07-03
200410,王欢,410106,410106198701082528,11551108522,0.77,1,2023-07-03
200412,陈建平,410106,410106198805187194,19533107231,0.77,1,2023-07-03
200414,黄娜,410106,410106198702134814,18997731407,0.71,0,2023-07-03
200416,孙丹,410106,410106196007137528,13793873849,0.74,0,2023-07-03
200419,孙帅,410106,410106197008203331,14527245353,0.86,1,2023-07-03
200420,邹雪梅,410106,410106195804059979,17458735329,0.7,0,2023-07-03
200423,邱琳,410108,410108199907159493,19341740673,0.74,0,2023-07-03
200426,曹小红,410108,410108198711145331,10669085348,0.65,0,2023-07-03
200432,吴秀英,410108,410108195509272372,18848544540,0.75,0,2023-07-03
200433,吴龙,410108,410108197807288861,13798388924,0.66,0,2023-07-03
200438,赵华,410108,410108199003207097,16314048496,0.73,0,2023-07-03
200441,郭坤,410108,410108199910031087,14638200770,0.66,0,2023-07-03
200442,侯莉,410108,410108199407141322,13832932925,0.84,1,2023-07-03
200443,王佳,410108,410108197610014544,14869778289,0.65,0,2023-07-03
200445,赵刚,410108,410108196205165950,15443201284,0.73,0,2023-07-03
200448,余慧,410108,410108199301154978,18631804174,0.89,1,2023-07-03
200449,梁亮,410108,410108200003185044,15054606788,0.75,0,2023-07-03
200452,冯柳,410105,410105199205162351,13463501402,0.78,1,2023-07-04
200454,谢秀珍,410105,410105195904097456,10738462336,0.73,0,2023-07-04
200456,梁海燕,410105,410105198708074416,19317012280,0.73,0,2023-07-04
200457,杨静,410105,410105195502201332,14960160256,0.74,0,2023-07-04
200461,王娟,410105,410105199004274736,12414081207,0.73,0,2023-07-04
200464,陈建军,410105,410105196009151437,15660259413,0.69,0,2023-07-04
200467,朱建,410105,410105196901015791,12338788387,0.68,0,2023-07-04
200469,臧强,410105,410105195904022637,14330358577,0.62,0,2023-07-04
200470,宋金凤,410105,410105195511152773,12948043113,0.64,0,2023-07-04
200473,李倩,410105,410105197310097463,13809494305,0.63,0,2023-07-04
200474,王佳,410105,410105199709068455,13542966552,0.8,1,2023-07-04
200475,刘旭,410105,410105197710147880,17296263710,0.68,0,2023-07-04
200476,徐亮,410105,410105198708085779,14117710284,0.73,0,2023-07-04
200482,刘丹,410102,410102197706062031,16107077743,0.8,1,2023-07-04
200484,张成,410102,410102196804132732,16838941945,0.79,1,2023-07-04
200486,刘浩,410102,410102196011207789,12932623069,0.72,0,2023-07-04
200487,王淑兰,410102,410102197403129385,15910178191,0.8,1,2023-07-04
200490,张利,410102,410102198611276982,13434653746,0.82,1,2023-07-04
200495,张杨,410102,410102196209134575,16896037480,0.74,0,2023-07-04
200498,向超,410102,410102200010203045,10966266481,0.83,1,2023-07-04
200499,邓桂珍,410102,410102199610124471,13522155031,0.65,0,2023-07-04
200501,韦霞,410102,410102196603116119,18397488669,0.71,0,2023-07-04
200505,曹健,410102,410102200304192327,16729838401,0.63,0,2023-07-04
200506,黄想,410102,410102195803142881,19533210245,0.78,1,2023-07-04
200508,李静,410102,410102197904183997,11340288692,0.86,1,2023-07-04
200512,傅秀荣,410103,410103195707228552,11029085801,0.76,1,2023-07-04
200514,张桂珍,410103,410103196303237146,18748574183,0.74,0,2023-07-04
200515,李瑞,410103,410103198602044394,18507316414,0.75,0,2023-07-04
200523,宋莉,410103,410103195806085313,13065211924,0.74,0,2023-07-04
